cpuTime,fileName,restarts,conflicts,decisions,propagations,conflictLiterals
6.65925,bench_10004.smt2.cnf,25,4638,18229,4042564,59687
519.602,bench_10013.smt2.cnf,31,6573,33479,3985905,82213
105.157,bench_1001.smt2.cnf,33,8153,24176,3914019,108623
212.553,bench_10033.smt2.cnf,31,6434,23832,4106374,110647
209.977,bench_10034.smt2.cnf,31,6431,23807,4098257,110587
107.38,bench_10036.smt2.cnf,36,8555,25447,4166224,115621
105.616,bench_10043.smt2.cnf,18,3463,8992,1770293,32302
599.563,bench_10068.smt2.cnf,38,9133,54875,3212594,92153
8.37392,bench_1006.smt2.cnf,88,23927,41763,4098757,571649
599.36,bench_10070.smt2.cnf,38,9147,54907,3218846,92408
6.96216,bench_10071.smt2.cnf,23,4468,17275,3889109,58552
8.57027,bench_1007.smt2.cnf,85,23413,40836,4015037,558219
6.84882,bench_10083.smt2.cnf,25,4662,18367,4076478,59869
9.46306,bench_10091.smt2.cnf,88,23975,46645,3371521,699620
599.577,bench_10094.smt2.cnf,93,25354,42286,4181352,746933
599.691,bench_10095.smt2.cnf,45,10173,46665,3415181,110497
474.102,bench_100.smt2.cnf,42,9704,45164,3825059,124808
205.409,bench_10111.smt2.cnf,31,6751,24492,4355268,118315
202.735,bench_10113.smt2.cnf,30,6214,23375,3951482,103560
24.4629,bench_10118.smt2.cnf,31,7339,13515,4829147,164297
209.752,bench_10121.smt2.cnf,31,6500,27938,4001113,92325
12.1297,bench_10127.smt2.cnf,63,17306,102602,3629058,146876
544.357,bench_10138.smt2.cnf,31,6537,33427,3960569,80149
551.471,bench_10139.smt2.cnf,28,5191,29127,3050101,57972
9.50919,bench_10163.smt2.cnf,89,24149,46934,3410151,705244
599.786,bench_10164.smt2.cnf,88,23861,40219,3930685,711801
599.378,bench_10165.smt2.cnf,47,11235,49993,3736873,123032
24.2097,bench_10173.smt2.cnf,31,7573,13892,5084173,169232
201.817,bench_10175.smt2.cnf,30,6304,27446,3907321,89225
12.0527,bench_10178.smt2.cnf,63,17931,111701,3816268,150644
391.976,bench_101.smt2.cnf,37,8788,42599,3789407,116714
19.456,bench_10207.smt2.cnf,25,4740,19966,2328252,44786
19.9788,bench_10208.smt2.cnf,32,8101,27162,3493157,130838
599.821,bench_10248.smt2.cnf,61,14258,29930,2973200,210199
599.84,bench_10251.smt2.cnf,63,16081,32971,3403357,249837
599.849,bench_10287.smt2.cnf,46,11096,47742,3568218,248571
599.791,bench_10288.smt2.cnf,52,11876,51142,3863869,261413
9.93445,bench_1028.smt2.cnf,63,17644,32543,3852936,459570
598.858,bench_10316.smt2.cnf,63,17011,45523,3483023,490895
18.5871,bench_10318.smt2.cnf,35,8449,28230,3568909,136645
2.31863,bench_1031.smt2.cnf,32,8032,16881,4510820,146524
2.3608,bench_1032.smt2.cnf,31,6936,15397,4035544,128181
